# This MeasurementStore object was saved on 27/07/2014 4:42:04 PM

# _FirstTime.Ticks
635420760626509650
# _PreviousTime.Ticks
635420761240970109
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
173.3068,635420760728870810,5,-19650714,0
150.9151,635420760729154360,1,-19650714,41
75.12624,635420760729390490,3,-19650714,15
-1,635420760729478630,2,-19650714,15
209.7487,635420760729625510,4,-19650714,5
-1,635420760729982930,5,-19650713,35
6.353961,635420760730073130,1,-19650713,19
-1,635420760730267450,6,-19650713,10
325.1733,635420760730363500,2,-19650713,18
5.94622,635420760730509720,4,-19650713,6
243.863,635420760730527620,3,-19650713,0
-1,635420760730978920,5,-19650712,43
-1,635420760731267440,6,-19650712,29
6.353961,635420760731179920,2,-19650712,6
-1,635420760731376420,1,-19650712,15
-1,635420760731686650,3,-19650712,21
-1,635420760731819190,4,-19650711,14
144.9179,635420760731927350,6,-19650711,8
-1,635420760732090160,5,-19650711,16
-1,635420760732371780,1,-19650711,40
-1,635420760732491050,2,-19650711,11
-1,635420760732649460,3,-19650711,6
5.861274,635420760732849620,6,-19650710,18
-1,635420760732815550,4,-19650710,4
-1,635420760732979240,5,-19650710,9
242.6398,635420760733144940,1,-19650710,27
76.48537,635420760733426900,3,-19650710,26
-1,635420760733482670,2,-19650710,7
225.7185,635420760733634920,4,-19650710,5
126.1448,635420760733842940,5,-19650709,19
-1,635420760734095300,6,-19650709,26
-1,635420760734078760,1,-19650709,17
117.1235,635420760734241070,2,-19650709,6
-1,635420760735039690,5,-19650708,69
-1,635420760735159280,6,-19650708,13
6.353961,635420760735179930,2,-19650708,11
-1,635420760735376390,1,-19650708,20
-1,635420760735978760,5,-19650707,49
-1,635420760736155110,6,-19650707,17
5.844285,635420760734509590,4,-19650709,13
70.77701,635420760734524540,3,-19650709,0
-1,635420760735812710,4,-19650707,0
244.0159,635420760735523600,3,-19650708,0
-1,635420760736371700,1,-19650707,18
-1,635420760736489430,2,-19650707,11
-1,635420760736653630,3,-19650707,20
76.40043,635420760736815000,5,-19650706,2
-1,635420760736816410,4,-19650706,6
139.8891,635420760736928460,6,-19650706,3
234.8077,635420760737140310,1,-19650706,33
-1,635420760737478500,2,-19650706,33
217.7506,635420760737630180,4,-19650706,6
-1,635420760737689120,3,-19650706,6
6.065145,635420760737849670,6,-19650705,14
-1,635420760737982990,5,-19650705,13
6.252026,635420760738010030,1,-19650705,13
132.2269,635420760738249970,2,-19650705,23
134.0957,635420760738420970,3,-19650705,7
5.844285,635420760738509710,4,-19650705,8
-1,635420760738979260,5,-19650704,45
-1,635420760739267410,6,-19650704,30
6.336971,635420760739179860,2,-19650704,1
-1,635420760739376360,1,-19650704,23
